"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00047916","SANTA CRUZ, CA US","1972-01","0","0","6","4","0","0","0","12","0","1","0","29","0","0.0","0.75","73","2007","535","1.79","0.0","47.0","59.3","34.8"
"USC00047916","SANTA CRUZ, CA US","1972-02","0","0","7","3","0","0","0","2","0","5","0","28","0","0.0","1.23","73","2336","329","1.81","0.0","53.1","64.4","41.9"
"USC00047916","SANTA CRUZ, CA US","1972-03","0","0","2","1","0","0","0","3","0","9","0","31","0","0.0","0.30","83","2635","299","0.32","0.0","55.3","67.9","42.8"
"USC00047916","SANTA CRUZ, CA US","1972-04","0","0","7","6","0","0","0","0","0","11","0","33","0","0.0","0.46","79","2948","313","1.92","0.0","54.6","68.7","40.5"
"USC00047916","SANTA CRUZ, CA US","1972-05","5","5","1","0","0","0","0","0","0","20","1","37","0","0.0","0.03","95","3150","202","0.03","0.0","58.6","72.7","44.6"
"USC00047916","SANTA CRUZ, CA US","1972-06","36","31","2","0","0","0","0","0","0","28","1","44","0","0.0","0.08","91","3206","55","0.14","0.0","64.2","75.5","52.9"
"USC00047916","SANTA CRUZ, CA US","1972-07","70","34","1","0","0","0","0","0","0","27","2","45","0","0.0","0.04","93","45","45","0.04","0.0","64.7","78.2","51.2"
"USC00047916","SANTA CRUZ, CA US","1972-08","102","32","0","0","0","0","0","0","0","29","2","44","0","0.0","0.00","97","93","48","0.00","0.0","64.5","77.9","51.1"
"USC00047916","SANTA CRUZ, CA US","1972-09","120","18","4","2","0","0","0","0","0","27","1","41","0","0.0","1.15","90","163","70","1.33","0.0","63.3","76.3","50.3"
"USC00047916","SANTA CRUZ, CA US","1972-10","139","19","12","6","0","0","0","0","0","21","1","35","0","0.0","0.95","92","267","104","3.42","0.0","61.9","72.4","51.5"
"USC00047916","SANTA CRUZ, CA US","1972-11","139","0","11","9","0","0","0","0","0","2","0","34","0","0.0","2.87","73","620","353","10.54","0.0","53.0","62.8","43.2"
"USC00047916","SANTA CRUZ, CA US","1972-12","139","0","11","7","0","0","0","11","0","0","0","23","0","0.0","0.83","68","1203","583","3.39","0.0","46.2","56.4","36.0"
"USC00047916","SANTA CRUZ, CA US","1973-01","0","0","15","11","0","0","0","12","0","0","0","25","0","0.0","1.55","66","1734","530","7.85","0.0","47.5","57.0","38.0"
"USC00047916","SANTA CRUZ, CA US","1973-02","0","0","15","14","0","0","0","0","0","2","0","35","0","0.0","2.20","73","2073","340","12.99","0.0","52.9","61.9","43.8"
"USC00047916","SANTA CRUZ, CA US","1973-03","0","0","13","10","0","0","0","2","0","0","0","32","0","0.0","0.95","67","2501","428","5.02","0.0","50.7","61.9","39.5"
"USC00047916","SANTA CRUZ, CA US","1973-04","0","0","1","0","0","0","0","0","0","13","0","37","0","0.0","0.05","79","2780","279","0.05","0.0","55.7","68.6","42.8"
"USC00047916","SANTA CRUZ, CA US","1973-05","11","11","1","0","0","0","0","0","0","18","1","35","0","0.0","0.04","98","2980","200","0.04","0.0","58.9","71.9","45.8"
"USC00047916","SANTA CRUZ, CA US","1973-06","67","56","0","0","0","0","0","0","0","26","5","42","0","0.0","0.00","104","3033","53","0.00","0.0","65.0","80.0","50.0"
"USC00047916","SANTA CRUZ, CA US","1973-07","78","11","0","0","0","0","0","0","0","22","1","40","0","0.0","0.00","97","115","115","0.00","0.0","61.6","74.3","48.9"
"USC00047916","SANTA CRUZ, CA US","1973-08","88","10","0","0","0","0","0","0","0","28","0","40","0","0.0","0.00","87","209","94","0.00","0.0","62.3","74.9","49.7"
"USC00047916","SANTA CRUZ, CA US","1973-09","118","30","4","2","0","0","0","0","0","25","4","44","0","0.0","0.22","97","302","93","0.41","0.0","62.9","76.6","49.2"
"USC00047916","SANTA CRUZ, CA US","1973-10","125","7","6","4","0","0","0","0","0","18","0","37","0","0.0","1.37","86","501","199","2.71","0.0","58.8","72.4","45.3"
"USC00047916","SANTA CRUZ, CA US","1973-11","125","0","17","16","0","0","0","0","0","1","0","33","0","0.0","3.10","72","904","402","9.56","0.0","51.6","60.6","42.6"
"USC00047916","SANTA CRUZ, CA US","1973-12","125","0","11","11","0","0","0","0","0","0","0","34","0","0.0","2.14","69","1370","466","6.27","0.0","49.9","59.6","40.3"
"USC00047916","SANTA CRUZ, CA US","1974-01","0","0","13","11","0","0","0","3","0","0","0","30","0","0.0","1.70","68","1871","501","6.00","0.0","48.2","57.4","38.9"
"USC00047916","SANTA CRUZ, CA US","1974-02","0","0","6","4","0","0","0","4","0","2","0","31","0","0.0","0.82","72","2288","417","2.00","0.0","49.7","62.4","36.9"
"USC00047916","SANTA CRUZ, CA US","1974-03","0","0","11","9","0","0","0","1","0","2","0","32","0","0.0","3.56","77","2672","384","7.35","0.0","52.6","61.1","44.2"
"USC00047916","SANTA CRUZ, CA US","1974-04","0","0","8","6","0","0","0","0","0","16","0","35","0","0.0","3.07","79","2970","298","4.87","0.0","55.1","69.2","40.9"
"USC00047916","SANTA CRUZ, CA US","1974-05","4","4","1","0","0","0","0","0","0","14","1","34","0","0.0","0.02","92","3257","287","0.02","0.0","55.9","69.1","42.6"
"USC00047916","SANTA CRUZ, CA US","1974-06","12","8","2","1","0","0","0","0","0","22","0","42","0","0.0","0.23","88","3376","119","0.31","0.0","61.3","74.1","48.5"
"USC00047916","SANTA CRUZ, CA US","1974-07","26","14","2","2","0","0","0","0","0","25","0","43","0","0.0","2.51","81","94","94","2.89","0.0","62.4","74.2","50.6"
"USC00047916","SANTA CRUZ, CA US","1974-08","27","1","0","0","0","0","0","0","0","23","0","43","0","0.0","0.00","82","187","93","0.00","0.0","62.0","72.3","51.7"
"USC00047916","SANTA CRUZ, CA US","1974-09","33","6","0","0","0","0","0","0","0","25","1","47","0","0.0","0.00","90","273","86","0.00","0.0","62.1","74.3","50.0"
"USC00047916","SANTA CRUZ, CA US","1974-10","50","17","5","3","0","0","0","0","0","16","2","40","0","0.0","1.22","97","452","178","1.94","0.0","59.8","72.8","46.7"
"USC00047916","SANTA CRUZ, CA US","1974-11","50","0","4","2","0","0","0","0","0","5","0","34","0","0.0","0.61","80","788","336","1.07","0.0","53.8","66.7","40.9"
"USC00047916","SANTA CRUZ, CA US","1974-12","50","0","6","4","0","0","0","4","0","0","0","28","0","0.0","2.40","69","1282","494","3.91","0.0","48.5","59.6","37.5"
"USC00047916","SANTA CRUZ, CA US","1975-01","0","0","6","3","0","0","0","8","0","12","0","24","0","0.0","0.53","81","1752","470","1.28","0.0","49.9","63.6","36.1"
"USC00047916","SANTA CRUZ, CA US","1975-02","0","0","11","11","0","0","0","2","0","3","0","31","0","0.0","2.20","72","2152","400","5.72","0.0","50.7","60.8","40.6"
"USC00047916","SANTA CRUZ, CA US","1975-03","0","0","15","11","0","0","0","0","0","1","0","33","0","0.0","1.96","74","2531","378","6.65","0.0","52.1","63.0","41.2"
"USC00047916","SANTA CRUZ, CA US","1975-04","0","0","12","9","0","0","0","0","0","3","0","33","0","0.0","0.95","72","2974","443","2.63","0.0","50.2","62.2","38.2"
"USC00047916","SANTA CRUZ, CA US","1975-05","11","11","0","0","0","0","0","0","0","14","2","35","0","0.0","0.00","94","3211","237","0.00","0.0","57.7","71.1","44.4"
"USC00047916","SANTA CRUZ, CA US","1975-06","11","0","1","1","0","0","0","0","0","15","0","39","0","0.0","0.10","82","3380","169","0.10","0.0","59.4","70.0","48.7"
"USC00047916","SANTA CRUZ, CA US","1975-07","15","4","3","1","0","0","0","0","0","24","0","41","0","0.0","0.12","88","102","102","0.14","0.0","61.8","74.8","48.9"
"USC00047916","SANTA CRUZ, CA US","1975-08","39","24","3","2","0","0","0","0","0","21","4","42","0","0.0","0.48","97","191","89","0.85","0.0","62.9","75.4","50.4"
"USC00047916","SANTA CRUZ, CA US","1975-09","54","15","0","0","0","0","0","0","0","25","1","44","0","0.0","0.00","102","288","97","0.00","0.0","62.3","74.5","50.0"
"USC00047916","SANTA CRUZ, CA US","1975-10","60","6","5","3","0","0","0","0","0","17","1","35","0","0.0","1.22","92","503","214","3.65","0.0","58.3","71.8","44.7"
"USC00047916","SANTA CRUZ, CA US","1975-11","60","0","2","1","0","0","0","3","0","6","0","28","0","0.0","0.43","81","887","384","0.49","0.0","52.2","65.8","38.6"
"USC00047916","SANTA CRUZ, CA US","1975-12","60","0","2","2","0","0","0","6","0","6","0","27","0","0.0","0.20","80","1366","479","0.30","0.0","49.5","62.2","36.9"
"USC00047916","SANTA CRUZ, CA US","1976-01","0","0","2","1","0","0","0","10","0","12","0","23","0","0.0","0.27","81","1825","459","0.32","0.0","49.8","65.0","34.7"
"USC00047916","SANTA CRUZ, CA US","1976-02","0","0","11","6","0","0","0","5","0","4","0","28","0","0.0","1.30","83","2240","415","3.89","0.0","50.7","63.1","38.2"
