STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT11,WT14,WT16
USC00047916,"SANTA CRUZ, CA US",6/30/89,0,72,52,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/1/89,0,84,51,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/2/89,0,84,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/3/89,0,84,49,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/4/89,0,80,49,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/5/89,0,84,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/6/89,0,93,49,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/7/89,0,83,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/8/89,0,78,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/9/89,0,74,53,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/10/89,0,65,52,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/11/89,0,68,53,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/12/89,0,74,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/13/89,0,76,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/14/89,0,76,47,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/15/89,0,79,50,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/16/89,0,78,49,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/17/89,0,81,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/18/89,0,75,57,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/19/89,0,77,52,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/20/89,0,76,50,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/21/89,0,71,47,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/22/89,0,73,49,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/23/89,0,71,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/24/89,0,69,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/25/89,0,69,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/26/89,0,76,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/27/89,0,74,50,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/28/89,0,72,47,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/29/89,0,72,50,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/30/89,0,80,47,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",7/31/89,0,81,49,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/1/89,0,79,51,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/2/89,0,77,49,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/3/89,0,69,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/4/89,0,69,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/5/89,0,71,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/6/89,0,73,52,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/7/89,0,70,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/8/89,0,71,56,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/9/89,0,69,57,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/10/89,0,69,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/11/89,0,69,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/12/89,0,73,52,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/13/89,0,74,47,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/14/89,0,76,47,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/15/89,0,65,51,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/16/89,0,61,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/17/89,0.07,64,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/18/89,0,71,58,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/19/89,0,73,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/20/89,0,61,51,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/21/89,0,70,56,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/22/89,0,71,51,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/23/89,0,76,60,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/24/89,0,85,49,,,,,,,,
